wallet	window	side	asof_time	amount_lamports	supporting_flow_count	flow_ref	first_seen_time	first_seen_flow_ref	is_whale
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	24h	buy	1769741347	79850221403	29	5erZKgUhDyZYuB3tES2Axqd7qc3giMvyTFzraBcHAhMnJoYgw4UngFQZVgDZLH7iM6i7R8b7Ym5L8WD25he2HyR	1769191099	653a4UsnwcAbC6PMRxWhzqxw1AVgM8npsgWmBBDUjjpnWAPhxT5k1bw7Xuwz73LkhnFwj6yXPybP3h9gyGTtyVd3	1
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	24h	sell	1769738636	67006164704	14	DVuNLoGhefwCKTcsuKEjqn6h9ZW1ni19KQTGLUJxnvxq33vW5B763oieSWq9Vq3bpAAKLt9F7i14AtwAhKQ5QzQ	1769152647	49WdYm7ZmrmfhCw3zNFFxmgNsire4bSUoNkePZDyRrZCh6aCGNhsNvkgc1gomowg2GDxrLs16Ur4UGuXENFhSU6v	1
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	7d	buy	1769741347	805695338484	305	5erZKgUhDyZYuB3tES2Axqd7qc3giMvyTFzraBcHAhMnJoYgw4UngFQZVgDZLH7iM6i7R8b7Ym5L8WD25he2HyR	1769322497	BvjBBroJWTMEaoLHaatLeTFPGgVztAY6AhHpNGDfLWEVzgaZSqRQxg3jYL5eK6KiF1hiuuVWKzLV9Sg9T4Gjwet	1
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	7d	sell	1769738636	856877133047	232	DVuNLoGhefwCKTcsuKEjqn6h9ZW1ni19KQTGLUJxnvxq33vW5B763oieSWq9Vq3bpAAKLt9F7i14AtwAhKQ5QzQ	1769283884	3m4gzPeggorU7Cjc9Jm7guajdw9J1xoUf2AT6QX3HRHqHEeh2BALhCfoqHyUdH17C3HCkS1Xr2jCbUEGE81KbJTE	1
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	lifetime	buy	1769704115	10013079080	1	4FyScowpx5R3TzS5i3LQcLE7FSZXSLPKKaLjuraASbqemcKKTpJ7JjB2XyTGAwLdoWf9dqSZmYBBqDVKj7oxVq21	1769382764	JyVeko2Eu8cHAroenJvK9iZETwrH35QaaRCturjxsGZuziNNfA4UEWQPr7SVYp7e6VS7DaETC6H6v5faME8a23q	1
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	lifetime	sell	1769717444	17021923398	1	36DQ9AVADxBUYwVqL1Ah9z7avSZgYSRnr7nDNM6SEcQbpt3ErU32oqBaJNZ9WSmzxfUVnCJBspwNbRS92cFcoLzG	1769151573	4gwLQGdeRukUtdo7egNNaYf5KoWYQ5p5McZ5HVqqFUnMt1Hs2RYAsLxFdXABfg6CuFapq8KTAaae9ZiVnb1SAWcF	1
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	24h	buy	1769687634	67020109012	40	64D6b2FSyc9ak6L5Q7rtyc3uZQX8PHyiMZfiRMxKAwufv7EXKNtpX7KcriKxMPjEuZvDBP2AJbjK4mQvxw7gVMY	1769490894	aH56j497ncwA8CvW6yAU8Nj97upBYsbN8BsAX48peVzhUD85BjoQJaY6YDCFXtcRVGs9jPV8HV5Bt5N7tE7r3DS	1
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	24h	sell	1769741281	69260202014	39	4ZLJxm81HBhp5jH6yDcbvtA4A4UvkiKJhbcg278qvdcmziP4dzCGczKzA74pEWi8ZtYVirr121gjJJkY7BguUBZE	1769286639	yojRHJryR9CEWUisBoY2A1azJZJHQhMSn1NAHKhEWS5QazGaXb3AYPprCxqHKsGuywUFLMZepEfB85HGGDLR4gT	1
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	7d	buy	1769741998	320075978759	201	4HfMDQ3vg3b8Kkk8NDjrVA6dG1ayvT6DicdTKh41soNQb9W9wPKXVRZBizyxHWtWVkHy9QhmbVDSuwM4j2i6WcK	1769567929	5Fsw3L46oonh6vDcXzCtaqmedq3tA57pspcu7xoxh68h3i8hRPkkZTKRZFxq4j8WeACKtXPUhdAiCTnequK28agh	1
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	7d	sell	1769741281	363383322184	174	4ZLJxm81HBhp5jH6yDcbvtA4A4UvkiKJhbcg278qvdcmziP4dzCGczKzA74pEWi8ZtYVirr121gjJJkY7BguUBZE	1769506063	5peVBMhCW2aYgC1sjtULcrSHBmtrHp6mgZrETbxKmmo7xoZYkJPBGc65LYijc43AkRtMvT2aVJZRgEKkp1opgn7Q	1
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	lifetime	buy	1769603933	10140005000	1	4SD7bTyi8WWuQP4JAhH3ioqqCDuo5yo9mSCkB7agofhy2NXN2Fs6ERbtQEL28J2ykuH3HKZpZzQpowRjdPdpFjqR	1769518983	57q9BsGK2tMXsoUGZsfE5VYsndgjYCx9m8AbDe87WkatpyfjttxQzeAcXZnN3sbDokwTEunTkGsFdvmyJ746Ys5N	1
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	lifetime	sell	1769380297	13131312277	1	4iK9AXs5mqpYFZosWasD3eDfcCpSf6Dj9QvtEjkKePZzcfvEoJNHvw63ZpBysZsK9FGbpe3QgF6GXq3AdcbJ18Ji	1769380297	4iK9AXs5mqpYFZosWasD3eDfcCpSf6Dj9QvtEjkKePZzcfvEoJNHvw63ZpBysZsK9FGbpe3QgF6GXq3AdcbJ18Ji	1
2w3zDW2e1KjYtM2pHTkgh78L8DjMrC6fuB9uhwKNigTs	lifetime	buy	1769453484	27004079080	1	3Ev51289qs1xNotekCvPDB88YeJgg5FLj9MSYWQgYTbX2ZPSMm3AtwUCszNatFHLwiaVxG3gMKXoZgnv93gBG5Rx	1769453484	3Ev51289qs1xNotekCvPDB88YeJgg5FLj9MSYWQgYTbX2ZPSMm3AtwUCszNatFHLwiaVxG3gMKXoZgnv93gBG5Rx	1
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	24h	buy	1769711515	63274037398	10	3o36J1hE64itmp3dLGMcRvUpqz8K8PMJL9EY5ojsUGxGntPyP8N7WrVUqNWT3WMxLetAq9UpBNwwEkijspaZTy4A	1769363142	3AwvJnm9yfsG8CPZqj2ignG6xLK6NL4ZzJ8xYZo6pYArxYx5x41Z23SFEQDi2cGmYfb1aueTAAdksKKHcaMK8nAk	1
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	24h	sell	1769689588	64788576413	14	649NLz9861s8g5zKMUom5rig4goMAsx7XNzoDDBTVT5g7v2a6vW69xEJ259bTXNJ92mqLkME2PVbuqdJf4tHBfsq	1769363152	2XsNdysYqsPb39UisGU3YC9eZkM1euhuoWscW9Tysi5pdgXfUySfEUVnmfpi16AVzJubCY3igGmysGLySFSvrB3	1
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	7d	buy	1769711515	609578425661	79	3o36J1hE64itmp3dLGMcRvUpqz8K8PMJL9EY5ojsUGxGntPyP8N7WrVUqNWT3WMxLetAq9UpBNwwEkijspaZTy4A	1769528754	3T3qaeDqCpQ93jNFtewCjJBuNhnbKwQdeyP7xL5bXRy16xtrUZTs5SUHG9QJAtjw77LZZTzUtLkNEMkbRAvdu72p	1
