wallet	window	side	transition_type	event_time	amount_lamports	supporting_flow_count	flow_ref
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	lifetime	buy	ENTER	1769518983	10123079080	1	57q9BsGK2tMXsoUGZsfE5VYsndgjYCx9m8AbDe87WkatpyfjttxQzeAcXZnN3sbDokwTEunTkGsFdvmyJ746Ys5N
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	lifetime	sell	ENTER	1769380297	13131312277	1	4iK9AXs5mqpYFZosWasD3eDfcCpSf6Dj9QvtEjkKePZzcfvEoJNHvw63ZpBysZsK9FGbpe3QgF6GXq3AdcbJ18Ji
2w3zDW2e1KjYtM2pHTkgh78L8DjMrC6fuB9uhwKNigTs	lifetime	buy	ENTER	1769453484	27004079080	1	3Ev51289qs1xNotekCvPDB88YeJgg5FLj9MSYWQgYTbX2ZPSMm3AtwUCszNatFHLwiaVxG3gMKXoZgnv93gBG5Rx
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	24h	buy	ENTER	1769363142	50460599952	6	3AwvJnm9yfsG8CPZqj2ignG6xLK6NL4ZzJ8xYZo6pYArxYx5x41Z23SFEQDi2cGmYfb1aueTAAdksKKHcaMK8nAk
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	24h	sell	ENTER	1769363152	52494350790	8	2XsNdysYqsPb39UisGU3YC9eZkM1euhuoWscW9Tysi5pdgXfUySfEUVnmfpi16AVzJubCY3igGmysGLySFSvrB3
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	7d	buy	ENTER	1769528754	248111365105	27	3T3qaeDqCpQ93jNFtewCjJBuNhnbKwQdeyP7xL5bXRy16xtrUZTs5SUHG9QJAtjw77LZZTzUtLkNEMkbRAvdu72p
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	7d	sell	ENTER	1769449720	207888094489	33	2f9osB3g5rTyLNkzsLmn88tfCTpbj44ukFDMdFYAwPimrdhsprB1AVVHTDCftxfDyt1FgdepEoGS1zF9JdCd8oXK
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	lifetime	buy	ENTER	1769528754	55000020001	1	3T3qaeDqCpQ93jNFtewCjJBuNhnbKwQdeyP7xL5bXRy16xtrUZTs5SUHG9QJAtjw77LZZTzUtLkNEMkbRAvdu72p
36DWP52MVRDooYNrcRVDyoCh2R1fPXCYqKJQYg9pFQoE	lifetime	sell	ENTER	1769443093	10406384938	1	3RrFPqZZSvuNh7Zf1DVsdkuCf93GyhsgHLncYc4rMpfe4BBzMePW1FtsPDZAw1GNvKn9WXS8JWDo8BUo3K3oVmN
39q2g5tTQn9n7KnuapzwS2smSx3NGYqBoea11tBjsGEt	24h	buy	ENTER	1769201408	50178578114	31	21nF78i8q1cGgsKpJiPbCCqG7DsZj6sQQ8URE9kHfQmfdu4WSWhmDD3JenenL4FTKLDaUU81g9n7yt6wWcJC9h7x
39q2g5tTQn9n7KnuapzwS2smSx3NGYqBoea11tBjsGEt	24h	sell	ENTER	1769195276	54333957529	14	4Zv8S2fZViUaR1HKbZMaHJ3nmDUjFryJu2MYuMRnKKwLoxxmEFF5fyG6WPQfujn3vaQjUPdqaqGgQ8RMzzULBKEh
39q2g5tTQn9n7KnuapzwS2smSx3NGYqBoea11tBjsGEt	7d	buy	ENTER	1769449581	201214094794	214	41gSYngDLfaf55LMht9F5nAgMgtHAifKyMMqtWmz1SyhXRZCUvtPWVsWiPnzRZ3aDyLb4cxpmbPk6e97kh2jmkV7
39q2g5tTQn9n7KnuapzwS2smSx3NGYqBoea11tBjsGEt	7d	sell	ENTER	1769314679	204236881147	66	YRV6KXHX5LfYsUKT64Wy78JVC4nstvZ4TBq9JtbLrAkp253ESwoJqexwCqUCZK6i1NvQC4LBkLESZ5TBBLXZ8fn
39q2g5tTQn9n7KnuapzwS2smSx3NGYqBoea11tBjsGEt	lifetime	buy	ENTER	1769194616	10050005000	1	5wK6TuT4vttL8vdr2dpmhsu1mjXpPqLk1qHyJzMRCQzDca9sCWmReSLkJRcLSkcEBMZrHD7tGLB9wabMqbc6yvAP
39q2g5tTQn9n7KnuapzwS2smSx3NGYqBoea11tBjsGEt	lifetime	sell	ENTER	1769397794	12646701475	1	3uMkH1DQmysvL7772CYnzwfaRxkz5tVk2e8YNapPkw9NeZ5bK77JAxgnPiNuSdCkjyVnEh1bymeyDm83taqLhjNu
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu	24h	buy	ENTER	1769734408	100002343055	1	3kS3DUMDor21C1jcnpLTzfGJpwDioQzmebHLeUaZN7cT2bML932gztS3sHGqHwD53Yi8yuMJNBXBkZ5ZKYXYzr8t
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu	7d	buy	ENTER	1769734426	220007437501	4	5PUn76N1FyHgouXTVXxp92jjdQxLCDuc3Fvm8VZ8HLAWe6oJoCSAUFJ8pR3M8fx3EGiyXFwwHLdoHNc2vttH32x3
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu	lifetime	buy	ENTER	1769195415	10002868236	1	5KLyWQ8NDso5LgFCujVpvZEFyAqxw3UPYbzPpTNhTKtYyuy33ZqQvTNU2yfMb7mkrEjdkh1a7jMk6LeUhXuFyQAb
3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei	24h	buy	ENTER	1769151630	51485122141	23	2H1QmcRKbgBZa4qJQ33MThAfxqm8JhWY56LD7xJTnXmxqWt4VDs5wJtUWdzjBGNkXNsgYCPEZasARjrWt1o5XyzL
3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei	24h	sell	ENTER	1769164541	57039379696	19	2Waqw9yqx6padvgGTdFbjC6bnA2BKRRUTVZbth1mJpyszj7u7nQ5sboVtEnzG6vHVKZ4bzx3smeBd6YqXoqU5vHY
3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei	7d	buy	ENTER	1769229440	200575842976	137	4PvWkUSfG1uruUgXppvC1csZaJekoxC4Knjgd38CZn99TiACDVeVtqDeqmiUqz3AJP33uupm83ULjWyW2fd9XkQH
3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei	7d	sell	ENTER	1769225266	200027808767	43	3XX2E9xKhgsuiEbDy7p43Ls9vXEY4k9DkRTHSKPsLQdJ5TfqfxRqK8TBhNzLjcTGie2b1D3h2515q1Zvkycsv86Z
