wallet	window	event_time	event_type	sol_amount_lamports	supporting_flow_count	flow_ref	created_at
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769214068	WHALE_CUM_24H_BUY	296370861756	28	2wxvXZMYBa6SEC3c4sm6edw3BaCii49hKHvMrNTmEUi9pgPdJqJU3ktR2BhU5K445hRu2CjwkszeapfQZskV71c3	1769214068
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769214068	WHALE_CUM_7D_BUY	296370861756	28	2wxvXZMYBa6SEC3c4sm6edw3BaCii49hKHvMrNTmEUi9pgPdJqJU3ktR2BhU5K445hRu2CjwkszeapfQZskV71c3	1769214068
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769215003	WHALE_CUM_24H_BUY	296375866756	29	63hcp7iueo8ytPKd3WTbRGbsfUTntynpNqghPujptAYW3oiPHCzohGDk8rZHu38cYhDH2u9XtCvU6yaMLfbqNWsY	1769215003
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769215003	WHALE_CUM_7D_BUY	296375866756	29	63hcp7iueo8ytPKd3WTbRGbsfUTntynpNqghPujptAYW3oiPHCzohGDk8rZHu38cYhDH2u9XtCvU6yaMLfbqNWsY	1769215003
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769215012	WHALE_CUM_24H_BUY	301436871756	30	37FbdE2mwkqeuB9XfFi4a4J8Hq92BaFfvjYjihEmWyDfTRtWRn7uCA1n1xDLQFBuYWxUYUSw4nXemCV7ncDQwgkn	1769215012
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769215012	WHALE_CUM_7D_BUY	301436871756	30	37FbdE2mwkqeuB9XfFi4a4J8Hq92BaFfvjYjihEmWyDfTRtWRn7uCA1n1xDLQFBuYWxUYUSw4nXemCV7ncDQwgkn	1769215012
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769255049	WHALE_TX_BUY	10132079080	1	4WTASG7ZpBhpP8ZZHopBDp66TzQaCDw7sMDP4okDCq5EtVKy2ZcR3AZwwcMByNxV8AEY6G5Ayycm7ZsNgaj3PLX7	1769255049
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769255049	WHALE_CUM_24H_BUY	291323792676	29	4WTASG7ZpBhpP8ZZHopBDp66TzQaCDw7sMDP4okDCq5EtVKy2ZcR3AZwwcMByNxV8AEY6G5Ayycm7ZsNgaj3PLX7	1769255049
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769255049	WHALE_CUM_7D_BUY	311568950836	31	4WTASG7ZpBhpP8ZZHopBDp66TzQaCDw7sMDP4okDCq5EtVKy2ZcR3AZwwcMByNxV8AEY6G5Ayycm7ZsNgaj3PLX7	1769255049
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769262501	WHALE_TX_SELL	12983739576	1	MZxPWJvZsgMR1KhycD6Nrd7roi8QgLq6EF2Xi3LubqsPo3orgrnQM33Rzus1yKBwecJSM3ZnyLNcaLwwPDGnQXE	1769262501
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769262501	WHALE_CUM_24H_SELL	145068802802	17	MZxPWJvZsgMR1KhycD6Nrd7roi8QgLq6EF2Xi3LubqsPo3orgrnQM33Rzus1yKBwecJSM3ZnyLNcaLwwPDGnQXE	1769262501
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769262798	WHALE_TX_SELL	14379338316	1	51TDnNDWKNRhUSvSTnGoPBdiF5BzqfAnPvxXnXWLf8iSRPtKACCUeTVVDTT1wwtWwRmEp1wq9mDskxDtaQQAtspp	1769262798
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769262798	WHALE_CUM_24H_SELL	159448141118	18	51TDnNDWKNRhUSvSTnGoPBdiF5BzqfAnPvxXnXWLf8iSRPtKACCUeTVVDTT1wwtWwRmEp1wq9mDskxDtaQQAtspp	1769262798
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769264046	WHALE_CUM_24H_BUY	294385403006	30	2gtCJiixFJJyxNNAJweigd524NmTuk8k3teNRXG2gyXuuCydqdjALCQ8QNXuvHChcPDgk9YbEBPwXduFMRKpGMpC	1769264046
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769264046	WHALE_CUM_7D_BUY	314630561166	32	2gtCJiixFJJyxNNAJweigd524NmTuk8k3teNRXG2gyXuuCydqdjALCQ8QNXuvHChcPDgk9YbEBPwXduFMRKpGMpC	1769264046
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769264244	WHALE_CUM_24H_SELL	166534503454	19	4te8gvG9v7UKvEbDZY9DcMWcqRmU4yaEZMFL6UyRenriN1j3ycMftFNLJVBt9Ug8oSDHZBJ1UpRFWLTQjNZbfrXD	1769264244
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769265977	WHALE_TX_BUY	10111005000	1	15CeK9ZNH2Wco9FtE8FVUfKLgnNBuK6XonVKaE7WoCVJ5hAFg2EntBvRNrRhKiw7LchsbSyJZgudqnqMZ23DNLn	1769265977
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769265977	WHALE_CUM_24H_BUY	304496408006	31	15CeK9ZNH2Wco9FtE8FVUfKLgnNBuK6XonVKaE7WoCVJ5hAFg2EntBvRNrRhKiw7LchsbSyJZgudqnqMZ23DNLn	1769265977
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769265977	WHALE_CUM_7D_BUY	324741566166	33	15CeK9ZNH2Wco9FtE8FVUfKLgnNBuK6XonVKaE7WoCVJ5hAFg2EntBvRNrRhKiw7LchsbSyJZgudqnqMZ23DNLn	1769265977
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769266377	WHALE_CUM_24H_BUY	306529174586	32	5vBiZZBaPAGUrxiFdSuMhopwEnaoiMgugFYDRFQ9bWQw5AyodnF2EkJUeDMbvKM41kdcKEDvtBDZaa8hgasaJH5h	1769266377
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769266377	WHALE_CUM_7D_BUY	326774332746	34	5vBiZZBaPAGUrxiFdSuMhopwEnaoiMgugFYDRFQ9bWQw5AyodnF2EkJUeDMbvKM41kdcKEDvtBDZaa8hgasaJH5h	1769266377
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769266595	WHALE_TX_SELL	17439391682	1	5UQT4oKJvUYJD3FKdBPkb3HPhGjj3CX5QbTuFRcAfzPhg1WHMK1aqyZ1UChnHYbnLbL8r6TNgkL4f69DTPYAJZ2y	1769266595
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769266595	WHALE_CUM_24H_SELL	183973895136	20	5UQT4oKJvUYJD3FKdBPkb3HPhGjj3CX5QbTuFRcAfzPhg1WHMK1aqyZ1UChnHYbnLbL8r6TNgkL4f69DTPYAJZ2y	1769266595
